,pred_0,pred_1,pred_2,targ_0,targ_1,targ_2
0,2.6558233695414404,2.6558233695414404,2.6558233695414404,2.5820209980010986,2.5820209980010986,2.5820209980010986
1,2.6581550915547987,2.6581550915547987,2.6581550915547987,2.5780603885650635,2.5780603885650635,2.5780603885650635
2,2.6626274430499035,2.6626274430499035,2.6626274430499035,2.6396615505218506,2.6396615505218506,2.6396615505218506
3,2.7046613614452766,2.7046613614452766,2.7046613614452766,2.680952548980713,2.680952548980713,2.680952548980713
4,2.6749583588031762,2.6749583588031762,2.6749583588031762,2.661932945251465,2.661932945251465,2.661932945251465
5,2.660082232634889,2.660082232634889,2.660082232634889,2.650622844696045,2.650622844696045,2.650622844696045
6,2.624471056419172,2.624471056419172,2.624471056419172,2.601954936981201,2.601954936981201,2.601954936981201
7,2.6446230728389444,2.6446230728389444,2.6446230728389444,2.6107735633850098,2.6107735633850098,2.6107735633850098
8,2.6427399202708446,2.6427399202708446,2.6427399202708446,2.630537509918213,2.630537509918213,2.630537509918213
9,2.648704458226244,2.648704458226244,2.648704458226244,2.662099838256836,2.662099838256836,2.662099838256836
10,2.678587517624232,2.678587517624232,2.678587517624232,2.6141111850738525,2.6141111850738525,2.6141111850738525
11,2.698866325390734,2.698866325390734,2.698866325390734,2.617561101913452,2.617561101913452,2.617561101913452
12,2.613844495002737,2.613844495002737,2.613844495002737,2.601755142211914,2.601755142211914,2.601755142211914
13,2.684339331974009,2.684339331974009,2.684339331974009,2.6525962352752686,2.6525962352752686,2.6525962352752686
14,2.606042669825295,2.606042669825295,2.606042669825295,2.594351291656494,2.594351291656494,2.594351291656494
15,2.6391574865682097,2.6391574865682097,2.6391574865682097,2.632678270339966,2.632678270339966,2.632678270339966
16,2.564731438417767,2.564731438417767,2.564731438417767,2.5761818885803223,2.5761818885803223,2.5761818885803223
17,2.651760762617214,2.651760762617214,2.651760762617214,2.658550500869751,2.658550500869751,2.658550500869751
18,2.6808342078753595,2.6808342078753595,2.6808342078753595,2.6675825119018555,2.6675825119018555,2.6675825119018555
19,2.6561746505726362,2.6561746505726362,2.6561746505726362,2.644864082336426,2.644864082336426,2.644864082336426
20,2.633001948399982,2.633001948399982,2.633001948399982,2.6323370933532715,2.6323370933532715,2.6323370933532715
21,2.6525365650221024,2.6525365650221024,2.6525365650221024,2.6547346115112305,2.6547346115112305,2.6547346115112305
22,2.6480454689062887,2.6480454689062887,2.6480454689062887,2.6200640201568604,2.6200640201568604,2.6200640201568604
23,2.6252133702792984,2.6252133702792984,2.6252133702792984,2.6068644523620605,2.6068644523620605,2.6068644523620605
24,2.6003947441402118,2.6003947441402118,2.6003947441402118,2.6023154258728027,2.6023154258728027,2.6023154258728027
25,2.625566850005752,2.625566850005752,2.625566850005752,2.636913776397705,2.636913776397705,2.636913776397705
26,2.709966495364127,2.709966495364127,2.709966495364127,2.6487178802490234,2.6487178802490234,2.6487178802490234
27,2.650612785360807,2.650612785360807,2.650612785360807,2.6480937004089355,2.6480937004089355,2.6480937004089355
28,2.705894687087844,2.705894687087844,2.705894687087844,2.6502573490142822,2.6502573490142822,2.6502573490142822
29,2.6305445154885416,2.6305445154885416,2.6305445154885416,2.635417938232422,2.635417938232422,2.635417938232422
30,2.64089972741582,2.64089972741582,2.64089972741582,2.599774122238159,2.599774122238159,2.599774122238159
31,2.6221835714650594,2.6221835714650594,2.6221835714650594,2.628831148147583,2.628831148147583,2.628831148147583
32,-1.2598809055495988,-1.2598809055495988,-1.2598809055495988,-1.2477586269378662,-1.2477586269378662,-1.2477586269378662
33,-1.3214007126809202,-1.3214007126809202,-1.3214007126809202,-1.284073829650879,-1.284073829650879,-1.284073829650879
34,-1.3293651104749018,-1.3293651104749018,-1.3293651104749018,-1.304936408996582,-1.304936408996582,-1.304936408996582
35,-1.3105389641396255,-1.3105389641396255,-1.3105389641396255,-1.2892192602157593,-1.2892192602157593,-1.2892192602157593
36,-1.328662591152848,-1.328662591152848,-1.328662591152848,-1.301111102104187,-1.301111102104187,-1.301111102104187
37,-1.3617820228211224,-1.3617820228211224,-1.3617820228211224,-1.3539191484451294,-1.3539191484451294,-1.3539191484451294
38,-1.3567244718315523,-1.3567244718315523,-1.3567244718315523,-1.3357884883880615,-1.3357884883880615,-1.3357884883880615
39,-1.3012963777732136,-1.3012963777732136,-1.3012963777732136,-1.2694154977798462,-1.2694154977798462,-1.2694154977798462
40,-1.339524733403231,-1.339524733403231,-1.339524733403231,-1.3284029960632324,-1.3284029960632324,-1.3284029960632324
41,-1.3282265509355653,-1.3282265509355653,-1.3282265509355653,-1.3241550922393799,-1.3241550922393799,-1.3241550922393799
42,-1.3178367891468992,-1.3178367891468992,-1.3178367891468992,-1.3206779956817627,-1.3206779956817627,-1.3206779956817627
43,-1.3713099264225164,-1.3713099264225164,-1.3713099264225164,-1.3654037714004517,-1.3654037714004517,-1.3654037714004517
44,-1.3205209830814573,-1.3205209830814573,-1.3205209830814573,-1.2951393127441406,-1.2951393127441406,-1.2951393127441406
45,-1.2464727492973275,-1.2464727492973275,-1.2464727492973275,-1.297552466392517,-1.297552466392517,-1.297552466392517
46,-1.3562799487340491,-1.3562799487340491,-1.3562799487340491,-1.3412281274795532,-1.3412281274795532,-1.3412281274795532
47,-1.2999013794273664,-1.2999013794273664,-1.2999013794273664,-1.2595902681350708,-1.2595902681350708,-1.2595902681350708
48,-1.249668736934993,-1.249668736934993,-1.249668736934993,-1.2798221111297607,-1.2798221111297607,-1.2798221111297607
49,-1.3062265534980633,-1.3062265534980633,-1.3062265534980633,-1.336089015007019,-1.336089015007019,-1.336089015007019
50,-1.3621639148487266,-1.3621639148487266,-1.3621639148487266,-1.343140959739685,-1.343140959739685,-1.343140959739685
51,-1.3763801192023113,-1.3763801192023113,-1.3763801192023113,-1.3162237405776978,-1.3162237405776978,-1.3162237405776978
52,-1.3192037541098318,-1.3192037541098318,-1.3192037541098318,-1.2815638780593872,-1.2815638780593872,-1.2815638780593872
53,-1.3668405831418895,-1.3668405831418895,-1.3668405831418895,-1.311141848564148,-1.311141848564148,-1.311141848564148
54,-1.3025721067031435,-1.3025721067031435,-1.3025721067031435,-1.3478585481643677,-1.3478585481643677,-1.3478585481643677
55,-1.3285771418534045,-1.3285771418534045,-1.3285771418534045,-1.305262565612793,-1.305262565612793,-1.305262565612793
56,-1.3706384734613424,-1.3706384734613424,-1.3706384734613424,-1.3522610664367676,-1.3522610664367676,-1.3522610664367676
57,-1.3523274157039336,-1.3523274157039336,-1.3523274157039336,-1.3136062622070312,-1.3136062622070312,-1.3136062622070312
58,-1.3526486725351285,-1.3526486725351285,-1.3526486725351285,-1.331331729888916,-1.331331729888916,-1.331331729888916
59,-1.337970946743563,-1.337970946743563,-1.337970946743563,-1.3399970531463623,-1.3399970531463623,-1.3399970531463623
60,-1.3534629113590644,-1.3534629113590644,-1.3534629113590644,-1.3628017902374268,-1.3628017902374268,-1.3628017902374268
61,-1.2730423620818285,-1.2730423620818285,-1.2730423620818285,-1.2862762212753296,-1.2862762212753296,-1.2862762212753296
62,-1.3343132647473879,-1.3343132647473879,-1.3343132647473879,-1.3332693576812744,-1.3332693576812744,-1.3332693576812744
63,-1.339961071213865,-1.339961071213865,-1.339961071213865,-1.3246585130691528,-1.3246585130691528,-1.3246585130691528
64,-1.3138591622205216,-1.3138591622205216,-1.3138591622205216,-1.2655850648880005,-1.2655850648880005,-1.2655850648880005
65,-1.3217122913697912,-1.3217122913697912,-1.3217122913697912,-1.33414626121521,-1.33414626121521,-1.33414626121521
66,-1.2825983663164415,-1.2825983663164415,-1.2825983663164415,-1.3260071277618408,-1.3260071277618408,-1.3260071277618408
67,-1.3010861568166283,-1.3010861568166283,-1.3010861568166283,-1.3086496591567993,-1.3086496591567993,-1.3086496591567993
68,-1.379669846992745,-1.379669846992745,-1.379669846992745,-1.3674733638763428,-1.3674733638763428,-1.3674733638763428
69,-1.2539434437903536,-1.2539434437903536,-1.2539434437903536,-1.2778986692428589,-1.2778986692428589,-1.2778986692428589
70,-1.310159020071466,-1.310159020071466,-1.310159020071466,-1.3048012256622314,-1.3048012256622314,-1.3048012256622314
71,-1.2864834003377135,-1.2864834003377135,-1.2864834003377135,-1.2807250022888184,-1.2807250022888184,-1.2807250022888184
72,-1.331808989310914,-1.331808989310914,-1.331808989310914,-1.3216009140014648,-1.3216009140014648,-1.3216009140014648
73,-1.3275283329785916,-1.3275283329785916,-1.3275283329785916,-1.2913841009140015,-1.2913841009140015,-1.2913841009140015
74,-1.3417507883457256,-1.3417507883457256,-1.3417507883457256,-1.3507623672485352,-1.3507623672485352,-1.3507623672485352
75,-1.3560426533404006,-1.3560426533404006,-1.3560426533404006,-1.326586365699768,-1.326586365699768,-1.326586365699768
76,-1.3606964487950834,-1.3606964487950834,-1.3606964487950834,-1.3470078706741333,-1.3470078706741333,-1.3470078706741333
77,-1.3152678168604575,-1.3152678168604575,-1.3152678168604575,-1.302775502204895,-1.302775502204895,-1.302775502204895
78,-1.303420837926616,-1.303420837926616,-1.303420837926616,-1.3101123571395874,-1.3101123571395874,-1.3101123571395874
79,-1.2809317264160633,-1.2809317264160633,-1.2809317264160633,-1.2684115171432495,-1.2684115171432495,-1.2684115171432495
80,-1.307737945685496,-1.307737945685496,-1.307737945685496,-1.280598759651184,-1.280598759651184,-1.280598759651184
81,-1.334317662657749,-1.334317662657749,-1.334317662657749,-1.3327513933181763,-1.3327513933181763,-1.3327513933181763
82,-1.321598929389548,-1.321598929389548,-1.321598929389548,-1.3144465684890747,-1.3144465684890747,-1.3144465684890747
83,-1.3566774598676763,-1.3566774598676763,-1.3566774598676763,-1.3336819410324097,-1.3336819410324097,-1.3336819410324097
84,-1.3359617832727597,-1.3359617832727597,-1.3359617832727597,-1.3280613422393799,-1.3280613422393799,-1.3280613422393799
85,-1.2903163965176405,-1.2903163965176405,-1.2903163965176405,-1.2780795097351074,-1.2780795097351074,-1.2780795097351074
86,-1.3586116422090866,-1.3586116422090866,-1.3586116422090866,-1.3416529893875122,-1.3416529893875122,-1.3416529893875122
87,-1.3335339648367344,-1.3335339648367344,-1.3335339648367344,-1.330838918685913,-1.330838918685913,-1.330838918685913
88,-1.3603645643408762,-1.3603645643408762,-1.3603645643408762,-1.3182673454284668,-1.3182673454284668,-1.3182673454284668
89,-1.3672734787088578,-1.3672734787088578,-1.3672734787088578,-1.3532122373580933,-1.3532122373580933,-1.3532122373580933
90,-1.317930495304671,-1.317930495304671,-1.317930495304671,-1.323975682258606,-1.323975682258606,-1.323975682258606
91,-1.3024359823534395,-1.3024359823534395,-1.3024359823534395,-1.27699613571167,-1.27699613571167,-1.27699613571167
92,-1.3136068387679634,-1.3136068387679634,-1.3136068387679634,-1.301221251487732,-1.301221251487732,-1.301221251487732
93,-1.3670675888528643,-1.3670675888528643,-1.3670675888528643,-1.3393244743347168,-1.3393244743347168,-1.3393244743347168
94,-1.2665517869048064,-1.2665517869048064,-1.2665517869048064,-1.301084041595459,-1.301084041595459,-1.301084041595459
95,-1.3193779330182709,-1.3193779330182709,-1.3193779330182709,-1.3013725280761719,-1.3013725280761719,-1.3013725280761719
96,2.622896529861189,2.622896529861189,2.622896529861189,2.6319735050201416,2.6319735050201416,2.6319735050201416
97,2.570502659095119,2.570502659095119,2.570502659095119,2.556868553161621,2.556868553161621,2.556868553161621
98,2.641728953553797,2.641728953553797,2.641728953553797,2.6070802211761475,2.6070802211761475,2.6070802211761475
99,2.70438340781441,2.70438340781441,2.70438340781441,2.719752311706543,2.719752311706543,2.719752311706543
100,2.7135339431615555,2.7135339431615555,2.7135339431615555,2.694265127182007,2.694265127182007,2.694265127182007
101,2.6826452728628087,2.6826452728628087,2.6826452728628087,2.650913715362549,2.650913715362549,2.650913715362549
102,2.598859700072338,2.598859700072338,2.598859700072338,2.5581557750701904,2.5581557750701904,2.5581557750701904
103,2.674562937206127,2.674562937206127,2.674562937206127,2.6682889461517334,2.6682889461517334,2.6682889461517334
104,2.614684427639129,2.614684427639129,2.614684427639129,2.5948522090911865,2.5948522090911865,2.5948522090911865
105,2.5917013056725846,2.5917013056725846,2.5917013056725846,2.5915510654449463,2.5915510654449463,2.5915510654449463
106,2.6710893275840695,2.6710893275840695,2.6710893275840695,2.68578839302063,2.68578839302063,2.68578839302063
107,2.6312815322474044,2.6312815322474044,2.6312815322474044,2.652203321456909,2.652203321456909,2.652203321456909
108,2.61484969847933,2.61484969847933,2.61484969847933,2.63482403755188,2.63482403755188,2.63482403755188
109,2.6895559193239875,2.6895559193239875,2.6895559193239875,2.6969995498657227,2.6969995498657227,2.6969995498657227
110,2.5935633730431578,2.5935633730431578,2.5935633730431578,2.5970277786254883,2.5970277786254883,2.5970277786254883
111,2.661893545338901,2.661893545338901,2.661893545338901,2.650381565093994,2.650381565093994,2.650381565093994
112,2.589602394958229,2.589602394958229,2.589602394958229,2.570493221282959,2.570493221282959,2.570493221282959
113,2.6349738824674227,2.6349738824674227,2.6349738824674227,2.6397061347961426,2.6397061347961426,2.6397061347961426
114,2.663042244099622,2.663042244099622,2.663042244099622,2.6523261070251465,2.6523261070251465,2.6523261070251465
115,2.632672091953377,2.632672091953377,2.632672091953377,2.6562843322753906,2.6562843322753906,2.6562843322753906
116,2.6256626395701748,2.6256626395701748,2.6256626395701748,2.6316072940826416,2.6316072940826416,2.6316072940826416
117,2.6353225454167304,2.6353225454167304,2.6353225454167304,2.652520179748535,2.652520179748535,2.652520179748535
118,2.6248855829709568,2.6248855829709568,2.6248855829709568,2.6419105529785156,2.6419105529785156,2.6419105529785156
119,2.6305850963409676,2.6305850963409676,2.6305850963409676,2.6350672245025635,2.6350672245025635,2.6350672245025635
120,2.61996506204583,2.61996506204583,2.61996506204583,2.614744186401367,2.614744186401367,2.614744186401367
121,2.6112828765948572,2.6112828765948572,2.6112828765948572,2.6042168140411377,2.6042168140411377,2.6042168140411377
122,2.679546035483144,2.679546035483144,2.679546035483144,2.659888505935669,2.659888505935669,2.659888505935669
123,2.598532534569211,2.598532534569211,2.598532534569211,2.6003262996673584,2.6003262996673584,2.6003262996673584
124,2.672902930550677,2.672902930550677,2.672902930550677,2.694788932800293,2.694788932800293,2.694788932800293
125,2.5935312406681086,2.5935312406681086,2.5935312406681086,2.594226121902466,2.594226121902466,2.594226121902466
126,2.651362738803362,2.651362738803362,2.651362738803362,2.627162218093872,2.627162218093872,2.627162218093872
127,2.6416806808857975,2.6416806808857975,2.6416806808857975,2.6276705265045166,2.6276705265045166,2.6276705265045166
128,-1.2861405795093372,-1.2861405795093372,-1.2861405795093372,-1.286493182182312,-1.286493182182312,-1.286493182182312
129,-1.299015077247572,-1.299015077247572,-1.299015077247572,-1.2903203964233398,-1.2903203964233398,-1.2903203964233398
130,-1.308696152833432,-1.308696152833432,-1.308696152833432,-1.2929342985153198,-1.2929342985153198,-1.2929342985153198
131,-1.3177969939054148,-1.3177969939054148,-1.3177969939054148,-1.2996410131454468,-1.2996410131454468,-1.2996410131454468
132,-1.3297831366638364,-1.3297831366638364,-1.3297831366638364,-1.299395203590393,-1.299395203590393,-1.299395203590393
133,-1.3213161778798024,-1.3213161778798024,-1.3213161778798024,-1.3333207368850708,-1.3333207368850708,-1.3333207368850708
134,-1.2997328699883035,-1.2997328699883035,-1.2997328699883035,-1.334535837173462,-1.334535837173462,-1.334535837173462
135,-1.26894268138855,-1.26894268138855,-1.26894268138855,-1.257157564163208,-1.257157564163208,-1.257157564163208
136,-1.2993365439438838,-1.2993365439438838,-1.2993365439438838,-1.3026907444000244,-1.3026907444000244,-1.3026907444000244
137,-1.309959268227464,-1.309959268227464,-1.309959268227464,-1.326939582824707,-1.326939582824707,-1.326939582824707
138,-1.344640498232485,-1.344640498232485,-1.344640498232485,-1.3411749601364136,-1.3411749601364136,-1.3411749601364136
139,-1.2868935242123358,-1.2868935242123358,-1.2868935242123358,-1.2756596803665161,-1.2756596803665161,-1.2756596803665161
140,-1.2785329203777094,-1.2785329203777094,-1.2785329203777094,-1.302633285522461,-1.302633285522461,-1.302633285522461
141,-1.2992249045378401,-1.2992249045378401,-1.2992249045378401,-1.3238998651504517,-1.3238998651504517,-1.3238998651504517
142,-1.308223861752021,-1.308223861752021,-1.308223861752021,-1.331621527671814,-1.331621527671814,-1.331621527671814
143,-1.3247024121379376,-1.3247024121379376,-1.3247024121379376,-1.3248751163482666,-1.3248751163482666,-1.3248751163482666
144,-1.2738666894995443,-1.2738666894995443,-1.2738666894995443,-1.2730803489685059,-1.2730803489685059,-1.2730803489685059
145,-1.344548458605327,-1.344548458605327,-1.344548458605327,-1.3680063486099243,-1.3680063486099243,-1.3680063486099243
146,-1.366397168582527,-1.366397168582527,-1.366397168582527,-1.3812636137008667,-1.3812636137008667,-1.3812636137008667
147,-1.340262805642143,-1.340262805642143,-1.340262805642143,-1.3501942157745361,-1.3501942157745361,-1.3501942157745361
148,-1.277832182042919,-1.277832182042919,-1.277832182042919,-1.2903178930282593,-1.2903178930282593,-1.2903178930282593
149,-1.3535873487077958,-1.3535873487077958,-1.3535873487077958,-1.3199831247329712,-1.3199831247329712,-1.3199831247329712
150,-1.3363341951622056,-1.3363341951622056,-1.3363341951622056,-1.3470524549484253,-1.3470524549484253,-1.3470524549484253
151,-1.3253213253056675,-1.3253213253056675,-1.3253213253056675,-1.3035635948181152,-1.3035635948181152,-1.3035635948181152
152,-1.3054406808419026,-1.3054406808419026,-1.3054406808419026,-1.283531665802002,-1.283531665802002,-1.283531665802002
153,-1.3660103990151027,-1.3660103990151027,-1.3660103990151027,-1.353177785873413,-1.353177785873413,-1.353177785873413
154,-1.2924511343422431,-1.2924511343422431,-1.2924511343422431,-1.3057551383972168,-1.3057551383972168,-1.3057551383972168
155,-1.3421125038888535,-1.3421125038888535,-1.3421125038888535,-1.3389942646026611,-1.3389942646026611,-1.3389942646026611
156,-1.348963509997795,-1.348963509997795,-1.348963509997795,-1.3497450351715088,-1.3497450351715088,-1.3497450351715088
157,-1.3168699009918237,-1.3168699009918237,-1.3168699009918237,-1.303709626197815,-1.303709626197815,-1.303709626197815
158,-1.3258083053676766,-1.3258083053676766,-1.3258083053676766,-1.3313850164413452,-1.3313850164413452,-1.3313850164413452
159,-1.300934350265959,-1.300934350265959,-1.300934350265959,-1.3139599561691284,-1.3139599561691284,-1.3139599561691284
160,-1.3314481531005415,-1.3314481531005415,-1.3314481531005415,-1.3110724687576294,-1.3110724687576294,-1.3110724687576294
161,-1.3605550773632318,-1.3605550773632318,-1.3605550773632318,-1.3413280248641968,-1.3413280248641968,-1.3413280248641968
162,-1.3268630564645487,-1.3268630564645487,-1.3268630564645487,-1.3411377668380737,-1.3411377668380737,-1.3411377668380737
163,-1.2778517151592481,-1.2778517151592481,-1.2778517151592481,-1.286156177520752,-1.286156177520752,-1.286156177520752
164,-1.3522341439351775,-1.3522341439351775,-1.3522341439351775,-1.3698294162750244,-1.3698294162750244,-1.3698294162750244
165,-1.298386208844945,-1.298386208844945,-1.298386208844945,-1.2730122804641724,-1.2730122804641724,-1.2730122804641724
166,-1.259688242859779,-1.259688242859779,-1.259688242859779,-1.255490779876709,-1.255490779876709,-1.255490779876709
167,-1.279007446730526,-1.279007446730526,-1.279007446730526,-1.2778816223144531,-1.2778816223144531,-1.2778816223144531
168,-1.3213678560493998,-1.3213678560493998,-1.3213678560493998,-1.3295791149139404,-1.3295791149139404,-1.3295791149139404
169,-1.343106561320448,-1.343106561320448,-1.343106561320448,-1.3382643461227417,-1.3382643461227417,-1.3382643461227417
170,-1.2811403635344112,-1.2811403635344112,-1.2811403635344112,-1.3047449588775635,-1.3047449588775635,-1.3047449588775635
171,-1.36418035690757,-1.36418035690757,-1.36418035690757,-1.3460915088653564,-1.3460915088653564,-1.3460915088653564
172,-1.3070558383369053,-1.3070558383369053,-1.3070558383369053,-1.3042651414871216,-1.3042651414871216,-1.3042651414871216
173,-1.2867393233707742,-1.2867393233707742,-1.2867393233707742,-1.2838941812515259,-1.2838941812515259,-1.2838941812515259
174,-1.3413216710513343,-1.3413216710513343,-1.3413216710513343,-1.331297516822815,-1.331297516822815,-1.331297516822815
175,-1.265842149182694,-1.265842149182694,-1.265842149182694,-1.2885191440582275,-1.2885191440582275,-1.2885191440582275
176,-1.3185807891048205,-1.3185807891048205,-1.3185807891048205,-1.3249346017837524,-1.3249346017837524,-1.3249346017837524
177,-1.3468134367560263,-1.3468134367560263,-1.3468134367560263,-1.3431960344314575,-1.3431960344314575,-1.3431960344314575
178,-1.3508167798675157,-1.3508167798675157,-1.3508167798675157,-1.343584418296814,-1.343584418296814,-1.343584418296814
179,-1.377544772742811,-1.377544772742811,-1.377544772742811,-1.3800188302993774,-1.3800188302993774,-1.3800188302993774
180,-1.3267704525644444,-1.3267704525644444,-1.3267704525644444,-1.2905224561691284,-1.2905224561691284,-1.2905224561691284
181,-1.3154153614078805,-1.3154153614078805,-1.3154153614078805,-1.3229483366012573,-1.3229483366012573,-1.3229483366012573
182,-1.3361867223057817,-1.3361867223057817,-1.3361867223057817,-1.3532530069351196,-1.3532530069351196,-1.3532530069351196
183,-1.3051532772836876,-1.3051532772836876,-1.3051532772836876,-1.306677222251892,-1.306677222251892,-1.306677222251892
184,-1.3217742743539205,-1.3217742743539205,-1.3217742743539205,-1.309168815612793,-1.309168815612793,-1.309168815612793
185,-1.3647270887494602,-1.3647270887494602,-1.3647270887494602,-1.360107421875,-1.360107421875,-1.360107421875
186,-1.4026961762527674,-1.4026961762527674,-1.4026961762527674,-1.3609012365341187,-1.3609012365341187,-1.3609012365341187
187,-1.3035129481169332,-1.3035129481169332,-1.3035129481169332,-1.2958585023880005,-1.2958585023880005,-1.2958585023880005
188,-1.3281578702900527,-1.3281578702900527,-1.3281578702900527,-1.3122596740722656,-1.3122596740722656,-1.3122596740722656
189,-1.321609565523576,-1.321609565523576,-1.321609565523576,-1.338936686515808,-1.338936686515808,-1.338936686515808
190,-1.281467742345798,-1.281467742345798,-1.281467742345798,-1.2678205966949463,-1.2678205966949463,-1.2678205966949463
191,-1.2855891273599005,-1.2855891273599005,-1.2855891273599005,-1.2641010284423828,-1.2641010284423828,-1.2641010284423828
192,2.6193421505430883,2.6193421505430883,2.6193421505430883,2.6237800121307373,2.6237800121307373,2.6237800121307373
193,2.5759418109961243,2.5759418109961243,2.5759418109961243,2.575300931930542,2.575300931930542,2.575300931930542
194,2.6190714592404625,2.6190714592404625,2.6190714592404625,2.6427555084228516,2.6427555084228516,2.6427555084228516
195,2.704184844334918,2.704184844334918,2.704184844334918,2.6845507621765137,2.6845507621765137,2.6845507621765137
196,2.667203927610764,2.667203927610764,2.667203927610764,2.646975040435791,2.646975040435791,2.646975040435791
197,2.678442178119902,2.678442178119902,2.678442178119902,2.6803178787231445,2.6803178787231445,2.6803178787231445
198,2.6277289122403054,2.6277289122403054,2.6277289122403054,2.6210012435913086,2.6210012435913086,2.6210012435913086
199,2.660285824459892,2.660285824459892,2.660285824459892,2.6264705657958984,2.6264705657958984,2.6264705657958984
200,2.5941510850842824,2.5941510850842824,2.5941510850842824,2.619004249572754,2.619004249572754,2.619004249572754
201,2.6241289530241234,2.6241289530241234,2.6241289530241234,2.6120996475219727,2.6120996475219727,2.6120996475219727
202,2.672175461631677,2.672175461631677,2.672175461631677,2.6409785747528076,2.6409785747528076,2.6409785747528076
203,2.6427902239625802,2.6427902239625802,2.6427902239625802,2.5882227420806885,2.5882227420806885,2.5882227420806885
204,2.618310235401666,2.618310235401666,2.618310235401666,2.6143932342529297,2.6143932342529297,2.6143932342529297
205,2.6738150103074614,2.6738150103074614,2.6738150103074614,2.671269655227661,2.671269655227661,2.671269655227661
206,2.6076721066144817,2.6076721066144817,2.6076721066144817,2.6174018383026123,2.6174018383026123,2.6174018383026123
207,2.6167818178302853,2.6167818178302853,2.6167818178302853,2.5863306522369385,2.5863306522369385,2.5863306522369385
208,2.587841750586467,2.587841750586467,2.587841750586467,2.5863780975341797,2.5863780975341797,2.5863780975341797
